Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
Acadia Realty Trust (NYSE:AKR),NYSE:AKR,R.E.I.T.,United States,United States,United States
Acamar Partners Acquisition Corp. (NasdaqCM:ACAM),NasdaqCM:ACAM,Investments & Asset Management,United States,United States,United States
"Accel Entertainment, Inc. (NYSE:ACEL)",NYSE:ACEL,Hotel/Gaming,United States,United States,United States
"Accelera Innovations, Inc (OTCPK:ACNV)",OTCPK:ACNV,Heathcare Information and Technology,United States,United States,United States
"Accelerate Diagnostics, Inc. (NasdaqCM:AXDX)",NasdaqCM:AXDX,Heathcare Information and Technology,United States,United States,United States
Accelerated Technologies Holding Corp. (OTCPK:ATHC),OTCPK:ATHC,Computer Services,United States,United States,United States
Acceleron Pharma Inc. (NasdaqGM:XLRN),NasdaqGM:XLRN,Drugs (Biotechnology),United States,United States,United States
"Access Worldwide Communications, Inc. (OTCPK:AWWC)",OTCPK:AWWC,Office Equipment & Services,United States,United States,United States
"Access-Power, Inc. (OTCPK:ACCR)",OTCPK:ACCR,Retail (Building Supply),United States,United States,United States
ACCO Brands Corporation (NYSE:ACCO),NYSE:ACCO,Office Equipment & Services,United States,United States,United States
Accuray Incorporated (NasdaqGS:ARAY),NasdaqGS:ARAY,Healthcare Products,United States,United States,United States
"AcelRx Pharmaceuticals, Inc. (NasdaqGM:ACRX)",NasdaqGM:ACRX,Drugs (Pharmaceutical),United States,United States,United States
Acer Therapeutics Inc. (NasdaqCM:ACER),NasdaqCM:ACER,Drugs (Pharmaceutical),United States,United States,United States
"Achaogen, Inc. (OTCPK:AKAO.Q)",OTCPK:AKAO.Q,Drugs (Biotechnology),United States,United States,United States
"Achillion Pharmaceuticals, Inc. (NasdaqGS:ACHN)",NasdaqGS:ACHN,Drugs (Biotechnology),United States,United States,United States
"ACI Worldwide, Inc. (NasdaqGS:ACIW)",NasdaqGS:ACIW,Software (System & Application),United States,United States,United States
"Aclaris Therapeutics, Inc. (NasdaqGS:ACRS)",NasdaqGS:ACRS,Drugs (Pharmaceutical),United States,United States,United States
"ACM Research, Inc. (NasdaqGM:ACMR)",NasdaqGM:ACMR,Semiconductor Equip,United States,United States,United States
Acme United Corporation (AMEX:ACU),AMEX:ACU,Office Equipment & Services,United States,United States,United States
ACNB Corporation (NasdaqCM:ACNB),NasdaqCM:ACNB,Banks (Regional),United States,United States,United States
"Acorda Therapeutics, Inc. (NasdaqGS:ACOR)",NasdaqGS:ACOR,Drugs (Biotechnology),United States,United States,United States
"Acorn Energy, Inc. (OTCPK:ACFN)",OTCPK:ACFN,Electronics (General),United States,United States,United States
Acquired Sales Corp. (OTCPK:AQSP),OTCPK:AQSP,Software (System & Application),United States,United States,United States
"Acreage Holdings, Inc. (CNSX:ACRG.U)",CNSX:ACRG.U,Drugs (Pharmaceutical),United States,United States,United States
"Acro Biomedical Co., Ltd. (OTCPK:ACBM)",OTCPK:ACBM,Healthcare Support Services,United States,United States,United States
"ACS Global, Inc. (OTCPK:AMCY)",OTCPK:AMCY,Healthcare Support Services,United States,United States,United States
Act II Global Acquisition Corp. (NasdaqCM:ACTT),NasdaqCM:ACTT,Investments & Asset Management,United States,United States,United States
"Actinium Pharmaceuticals, Inc. (AMEX:ATNM)",AMEX:ATNM,Drugs (Biotechnology),United States,United States,United States
"Actinium Pharmaceuticals, Inc. (AMEX:ATNM)",AMEX:ATNM,Drugs (Biotechnology),United States,United States,United States
"Activision Blizzard, Inc. (NasdaqGS:ATVI)",NasdaqGS:ATVI,Entertainment,United States,United States,United States
Actuant Corporation (NYSE:EPAC),NYSE:EPAC,Machinery,United States,United States,United States
"Acuity Brands, Inc. (NYSE:AYI)",NYSE:AYI,Electrical Equipment,United States,United States,United States
"Acuity Brands, Inc. (NYSE:AYI)",NYSE:AYI,Electrical Equipment,United States,United States,United States
"Acura Pharmaceuticals, Inc. (OTCPK:ACUR)",OTCPK:ACUR,Drugs (Pharmaceutical),United States,United States,United States
Acushnet Holdings Corp. (NYSE:GOLF),NYSE:GOLF,Recreation,United States,United States,United States
"Acusphere, Inc. (OTCPK:ACUS)",OTCPK:ACUS,Drugs (Pharmaceutical),United States,United States,United States
Adama Technologies Corporation (OTCPK:ADAC),OTCPK:ADAC,Machinery,United States,United States,United States
"Adamas Pharmaceuticals, Inc. (NasdaqGM:ADMS)",NasdaqGM:ADMS,Drugs (Biotechnology),United States,United States,United States
Adamis Pharmaceuticals Corporation (NasdaqCM:ADMP),NasdaqCM:ADMP,Drugs (Pharmaceutical),United States,United States,United States
"Adams Diversified Equity Fund, Inc. (NYSE:ADX)",NYSE:ADX,Investments & Asset Management,United States,United States,United States
"Adams Natural Resources Fund, Inc. (NYSE:PEO)",NYSE:PEO,Investments & Asset Management,United States,United States,United States
