Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
"Business First Bancshares, Inc. (NasdaqGS:BFST)",NasdaqGS:BFST,Banks (Regional),United States,United States,United States
Butler National Corporation (OTCPK:BUKS),OTCPK:BUKS,Aerospace/Defense,United States,United States,United States
"Buyer Group International, Inc. (OTCPK:BYRG)",OTCPK:BYRG,Metals & Mining,United States,United States,United States
"Buzz Technologies, Inc. (OTCPK:BZTG)",OTCPK:BZTG,Telecom. Services,United States,United States,United States
"BV Financial, Inc. (OTCPK:BVFL)",OTCPK:BVFL,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
"BWX Technologies, Inc. (NYSE:BWXT)",NYSE:BWXT,Aerospace/Defense,United States,United States,United States
"Byline Bancorp, Inc. (NYSE:BY)",NYSE:BY,Banks (Regional),United States,United States,United States
"C-Bond Systems, Inc. (OTCPK:CBNT)",OTCPK:CBNT,Chemical (Specialty),United States,United States,United States
"C.H. Robinson Worldwide, Inc. (NasdaqGS:CHRW)",NasdaqGS:CHRW,Transportation,United States,United States,United States
C&F Financial Corporation (NasdaqGS:CFFI),NasdaqGS:CFFI,Banks (Regional),United States,United States,United States
"Cabaletta Bio, Inc. (NasdaqGS:CABA)",NasdaqGS:CABA,Drugs (Biotechnology),United States,United States,United States
"Cable One, Inc. (NYSE:CABO)",NYSE:CABO,Cable TV,United States,United States,United States
Cabo Verde Capital Inc. (OTCPK:CAPV),OTCPK:CAPV,Furn/Home Furnishings,United States,United States,United States
Cabot Corporation (NYSE:CBT),NYSE:CBT,Chemical (Basic),United States,United States,United States
Cabot Microelectronics Corporation (NasdaqGS:CCMP),NasdaqGS:CCMP,Semiconductor Equip,United States,United States,United States
Cabot Oil & Gas Corporation (NYSE:COG),NYSE:COG,Oil/Gas (Production and Exploration),United States,United States,United States
"Cache, Inc. (OTCPK:CACH)",OTCPK:CACH,Retail (Special Lines),United States,United States,United States
CACI International Inc (NYSE:CACI),NYSE:CACI,Computer Services,United States,United States,United States
"Cactus, Inc. (NYSE:WHD)",NYSE:WHD,Oilfield Svcs/Equip.,United States,United States,United States
Cadence Bancorporation (NYSE:CADE),NYSE:CADE,Banks (Regional),United States,United States,United States
"Cadence Design Systems, Inc. (NasdaqGS:CDNS)",NasdaqGS:CDNS,Software (System & Application),United States,United States,United States
Cadiz Inc. (NasdaqGM:CDZI),NasdaqGM:CDZI,Utility (Water),United States,United States,United States
Caduceus Software Systems Corp. (OTCPK:CSOC),OTCPK:CSOC,Heathcare Information and Technology,United States,United States,United States
Caesars Entertainment Corporation (NasdaqGS:CZR),NasdaqGS:CZR,Hotel/Gaming,United States,United States,United States
"Café Serendipity Holdings, Inc. (OTCPK:CAFS)",OTCPK:CAFS,Retail (Special Lines),United States,United States,United States
"CAI International, Inc. (NYSE:CAI)",NYSE:CAI,Retail (Distributors),United States,United States,United States
"Cal Dive International, Inc. (OTCPK:CDVI.Q)",OTCPK:CDVI.Q,Oilfield Svcs/Equip.,United States,United States,United States
"Cal-Maine Foods, Inc. (NasdaqGS:CALM)",NasdaqGS:CALM,Food Processing,United States,United States,United States
"Caladrius Biosciences, Inc. (NasdaqCM:CLBS)",NasdaqCM:CLBS,Drugs (Biotechnology),United States,United States,United States
CalAmp Corp. (NasdaqGS:CAMP),NasdaqGS:CAMP,Telecom. Equipment,United States,United States,United States
"Calavo Growers, Inc. (NasdaqGS:CVGW)",NasdaqGS:CVGW,Food Processing,United States,United States,United States
"Calcol, Inc. (OTCPK:CLCL)",OTCPK:CLCL,Beverage (Soft),United States,United States,United States
"Caleres, Inc. (NYSE:CAL)",NYSE:CAL,Retail (Special Lines),United States,United States,United States
"CalEthos, Inc. (OTCPK:BUUZ)",OTCPK:BUUZ,Real Estate (Operations & Services),United States,United States,United States
"Caliber Imaging & Diagnostics, Inc. (OTCPK:LCDX)",OTCPK:LCDX,Healthcare Products,United States,United States,United States
California BanCorp (OTCPK:CALB),OTCPK:CALB,Banks (Regional),United States,United States,United States
"California Beach Restaurants, Inc. (OTCPK:CBHR)",OTCPK:CBHR,Restaurant/Dining,United States,United States,United States
California Business Bank (OTCPK:CABB),OTCPK:CABB,Banks (Regional),United States,United States,United States
California First National Bancorp (OTCPK:CFNB),OTCPK:CFNB,Banks (Regional),United States,United States,United States
"California International Bank, N.A. (OTCPK:CAIB)",OTCPK:CAIB,Banks (Regional),United States,United States,United States
California Nanotechnologies Corp. (TSXV:CNO),TSXV:CNO,Chemical (Specialty),United States,United States,United States
California Resources Corporation (NYSE:CRC),NYSE:CRC,Oil/Gas (Production and Exploration),United States,United States,United States
"California Style Palms, Inc. (OTCPK:CFPI)",OTCPK:CFPI,Farming/Agriculture,United States,United States,United States
California Water Service Group (NYSE:CWT),NYSE:CWT,Utility (Water),United States,United States,United States
"CaliPharms, Inc. (OTCPK:KGET)",OTCPK:KGET,Machinery,United States,United States,United States
"Calissio Resources Group, Inc. (OTCPK:CRGP)",OTCPK:CRGP,Metals & Mining,United States,United States,United States
"Calithera Biosciences, Inc. (NasdaqGS:CALA)",NasdaqGS:CALA,Drugs (Biotechnology),United States,United States,United States
"Calix, Inc. (NYSE:CALX)",NYSE:CALX,Telecom. Equipment,United States,United States,United States
"Callahan Consolidated Mines, Inc. (OTCPK:CCMN)",OTCPK:CCMN,Metals & Mining,United States,United States,United States
Callaway Golf Company (NYSE:ELY),NYSE:ELY,Recreation,United States,United States,United States
Callon Petroleum Company (NYSE:CPE),NYSE:CPE,Oil/Gas (Production and Exploration),United States,United States,United States
"Calloway's Nursery, Inc. (OTCPK:CLWY)",OTCPK:CLWY,Retail (Special Lines),United States,United States,United States
Calmare Therapeutics Incorporated (OTCPK:CTTC),OTCPK:CTTC,Healthcare Products,United States,United States,United States
"Calvin B. Taylor Bankshares, Inc. (OTCPK:TYCB)",OTCPK:TYCB,Banks (Regional),United States,United States,United States
CalWest Bancorp (OTCPK:CALW),OTCPK:CALW,Banks (Regional),United States,United States,United States
"Calyxt, Inc. (NasdaqGM:CLXT)",NasdaqGM:CLXT,Drugs (Biotechnology),United States,United States,United States
"Camber Energy, Inc. (AMEX:CEI)",AMEX:CEI,Oil/Gas (Production and Exploration),United States,United States,United States
Cambex Corporation (OTCPK:CBEX),OTCPK:CBEX,Computers/Peripherals,United States,United States,United States
Cambium Networks Corporation (NasdaqGM:CMBM),NasdaqGM:CMBM,Telecom. Equipment,United States,United States,United States
Cambridge Bancorp (NasdaqCM:CATC),NasdaqCM:CATC,Banks (Regional),United States,United States,United States
Camden National Corporation (NasdaqGS:CAC),NasdaqGS:CAC,Banks (Regional),United States,United States,United States
Camden Property Trust (NYSE:CPT),NYSE:CPT,R.E.I.T.,United States,United States,United States
Campbell Soup Company (NYSE:CPB),NYSE:CPB,Food Processing,United States,United States,United States
"Camping World Holdings, Inc. (NYSE:CWH)",NYSE:CWH,Retail (Automotive),United States,United States,United States
"Canadian Aerospace Group International, Inc. (OTCPK:CASG)",OTCPK:CASG,Aerospace/Defense,United States,United States,United States
Canal Capital Corporation (OTCPK:COWP),OTCPK:COWP,Real Estate (Development),United States,United States,United States
Canandaigua National Corporation (OTCPK:CNND),OTCPK:CNND,Banks (Regional),United States,United States,United States
"Canbiola, Inc. (OTCPK:CANB)",OTCPK:CANB,Drugs (Pharmaceutical),United States,United States,United States
"Cancer Genetics, Inc. (NasdaqCM:CGIX)",NasdaqCM:CGIX,Drugs (Biotechnology),United States,United States,United States
"Candlewood Hotel Company, Inc. (OTCPK:CNDL)",OTCPK:CNDL,Hotel/Gaming,United States,United States,United States
Candy Club Holdings Limited (ASX:CLB),ASX:CLB,Food Wholesalers,United States,United States,United States
"Canfield Medical Supply, Inc. (OTCPK:CNMF)",OTCPK:CNMF,Healthcare Support Services,United States,United States,United States
Cann American Corp. (OTCPK:CNNA),OTCPK:CNNA,Food Processing,United States,United States,United States
"Canna Consumer Goods, Inc. (OTCPK:CBMJ)",OTCPK:CBMJ,Broadcasting,United States,United States,United States
Canna Corporation (OTCPK:CNCC),OTCPK:CNCC,Software (Internet),United States,United States,United States
Cannabics Pharmaceuticals Inc. (OTCPK:CNBX),OTCPK:CNBX,Drugs (Pharmaceutical),United States,United States,United States
Cannabis One Holdings Inc. (CNSX:CBIS),CNSX:CBIS,Drugs (Pharmaceutical),United States,United States,United States
"Cannabis Sativa, Inc. (OTCPK:CBDS)",OTCPK:CBDS,Healthcare Support Services,United States,United States,United States
Cannabis Strategic Ventures (OTCPK:NUGS),OTCPK:NUGS,Drugs (Pharmaceutical),United States,United States,United States
"Cannabiz Mobile, Inc. (OTCPK:LGBI)",OTCPK:LGBI,Software (System & Application),United States,United States,United States
"Cannae Holdings, Inc. (NYSE:CNNE)",NYSE:CNNE,Diversified,United States,United States,United States
"CannaGrow Holdings, Inc (OTCPK:CGRW)",OTCPK:CGRW,Business & Consumer Services,United States,United States,United States
"Cannalink, Inc. (OTCPK:CNLK)",OTCPK:CNLK,Drugs (Pharmaceutical),United States,United States,United States
"CannaPowder, Inc. (OTCPK:CAPD)",OTCPK:CAPD,Drugs (Pharmaceutical),United States,United States,United States
"CannaSys, Inc. (OTCPK:MJTK)",OTCPK:MJTK,Software (System & Application),United States,United States,United States
CannAwake Corporation (OTCPK:CANX),OTCPK:CANX,Real Estate (Development),United States,United States,United States
"CannLabs, Inc. (OTCPK:CANL)",OTCPK:CANL,Healthcare Support Services,United States,United States,United States
Canopus BioPharma Incorporated (OTCPK:CBIA),OTCPK:CBIA,Drugs (Pharmaceutical),United States,United States,United States
Cansortium Inc. (CNSX:TIUM.U),CNSX:TIUM.U,Drugs (Pharmaceutical),United States,United States,United States
Cantel Medical Corp. (NYSE:CMD),NYSE:CMD,Healthcare Products,United States,United States,United States
Canterbury Park Holding Corporation (NasdaqGM:CPHC),NasdaqGM:CPHC,Hotel/Gaming,United States,United States,United States
"Capital Bancorp, Inc. (NasdaqGS:CBNK)",NasdaqGS:CBNK,Banks (Regional),United States,United States,United States
"Capital City Bank Group, Inc. (NasdaqGS:CCBG)",NasdaqGS:CCBG,Banks (Regional),United States,United States,United States
"Capital City Energy Group, Inc. (OTCPK:CETG)",OTCPK:CETG,Oil/Gas (Production and Exploration),United States,United States,United States
"Capital Financial Global, Inc. (OTCPK:CFGX)",OTCPK:CFGX,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
"Capital Group Holdings, Inc. (OTCPK:CGHC)",OTCPK:CGHC,Heathcare Information and Technology,United States,United States,United States
Capital One Financial Corporation (NYSE:COF),NYSE:COF,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
Capital Park Holdings Corp. (OTCPK:LOGG),OTCPK:LOGG,Software (System & Application),United States,United States,United States
"Capital Properties, Inc. (OTCPK:CPTP)",OTCPK:CPTP,Real Estate (Operations & Services),United States,United States,United States
Capital Senior Living Corporation (NYSE:CSU),NYSE:CSU,Hospitals/Healthcare Facilities,United States,United States,United States
Capital Southwest Corporation (NasdaqGS:CSWC),NasdaqGS:CSWC,Investments & Asset Management,United States,United States,United States
"Capitol Federal Financial, Inc. (NasdaqGS:CFFN)",NasdaqGS:CFFN,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
"Capricor Therapeutics, Inc. (NasdaqCM:CAPR)",NasdaqCM:CAPR,Drugs (Biotechnology),United States,United States,United States
"Capstar Financial Holdings, Inc. (NasdaqGS:CSTR)",NasdaqGS:CSTR,Banks (Regional),United States,United States,United States
Capstead Mortgage Corporation (NYSE:CMO),NYSE:CMO,R.E.I.T.,United States,United States,United States
Capstead Mortgage Corporation (NYSE:CMO),NYSE:CMO,R.E.I.T.,United States,United States,United States
"Capstone Companies, Inc. (OTCPK:CAPC)",OTCPK:CAPC,Electrical Equipment,United States,United States,United States
Capstone Therapeutics Corp. (OTCPK:CAPS),OTCPK:CAPS,Drugs (Biotechnology),United States,United States,United States
Capstone Turbine Corporation (NasdaqCM:CPST),NasdaqCM:CPST,Electrical Equipment,United States,United States,United States
"Cara Therapeutics, Inc. (NasdaqGM:CARA)",NasdaqGM:CARA,Drugs (Pharmaceutical),United States,United States,United States
CARBO Ceramics Inc. (OTCPK:CRRT),OTCPK:CRRT,Oilfield Svcs/Equip.,United States,United States,United States
Carbon Energy Corporation (OTCPK:CRBO),OTCPK:CRBO,Oil/Gas (Production and Exploration),United States,United States,United States
"Carbonite, Inc.",,Software (Internet),United States,United States,United States
Carbonxt Group Limited (ASX:CG1),ASX:CG1,Chemical (Basic),United States,United States,United States
"Cardax, Inc. (OTCPK:CDXI)",OTCPK:CDXI,Drugs (Pharmaceutical),United States,United States,United States
Cardiff Lexington Corporation (OTCPK:CDIX),OTCPK:CDIX,Restaurant/Dining,United States,United States,United States
"Cardinal Ethanol, LLC (OTCPK:CRDE)",OTCPK:CRDE,Oilfield Svcs/Equip.,United States,United States,United States
"Cardinal Health, Inc. (NYSE:CAH)",NYSE:CAH,Healthcare Support Services,United States,United States,United States
"Cardiovascular Systems, Inc. (NasdaqGS:CSII)",NasdaqGS:CSII,Healthcare Products,United States,United States,United States
"Cardlytics, Inc. (NasdaqGM:CDLX)",NasdaqGM:CDLX,Advertising,United States,United States,United States
Cardtronics plc (NasdaqGS:CATM),NasdaqGS:CATM,Information Services,United States,United States,United States
Cardxx Inc. (OTCPK:CXCQ),OTCPK:CXCQ,Computers/Peripherals,United States,United States,United States
"Care.com, Inc. (NYSE:CRCM)",NYSE:CRCM,Software (Entertainment),United States,United States,United States
"CareDx, Inc (NasdaqGM:CDNA)",NasdaqGM:CDNA,Drugs (Biotechnology),United States,United States,United States
Career Education Corporation (NasdaqGS:CECO),NasdaqGS:CECO,Education,United States,United States,United States
"Carefree Group, Inc. (OTCPK:CRFU)",OTCPK:CRFU,Hotel/Gaming,United States,United States,United States
"CarePayment Technologies, Inc. (OTCPK:CPYT)",OTCPK:CPYT,Healthcare Support Services,United States,United States,United States
"CareTrust REIT, Inc. (NasdaqGS:CTRE)",NasdaqGS:CTRE,R.E.I.T.,United States,United States,United States
"CareView Communications, Inc. (OTCPK:CRVW)",OTCPK:CRVW,Heathcare Information and Technology,United States,United States,United States
"CarGurus, Inc. (NasdaqGS:CARG)",NasdaqGS:CARG,Software (Entertainment),United States,United States,United States
Carlisle Companies Incorporated (NYSE:CSL),NYSE:CSL,Diversified,United States,United States,United States
"CarMax, Inc. (NYSE:KMX)",NYSE:KMX,Retail (Automotive),United States,United States,United States
Carnival Corporation & Plc (NYSE:CCL),NYSE:CCL,Hotel/Gaming,United States,United States,United States
Carolina Financial Corporation (NasdaqCM:CARO),NasdaqCM:CARO,Banks (Regional),United States,United States,United States
"Carolina Trust BancShares, Inc. (NasdaqCM:CART)",NasdaqCM:CART,Banks (Regional),United States,United States,United States
Carpenter Technology Corporation (NYSE:CRS),NYSE:CRS,Steel,United States,United States,United States
"Carriage Services, Inc. (NYSE:CSV)",NYSE:CSV,Business & Consumer Services,United States,United States,United States
"Carrizo Oil & Gas, Inc.",,Oil/Gas (Production and Exploration),United States,United States,United States
"Carroll Bancorp, Inc. (OTCPK:CROL)",OTCPK:CROL,Banks (Regional),United States,United States,United States
"Carroll Shelby International, Inc. (OTCPK:CSBI)",OTCPK:CSBI,Auto & Truck,United States,United States,United States
"Carrols Restaurant Group, Inc. (NasdaqGS:TAST)",NasdaqGS:TAST,Restaurant/Dining,United States,United States,United States
Cars.com Inc. (NYSE:CARS),NYSE:CARS,Software (Entertainment),United States,United States,United States
"CarSmartt, Inc. (OTCPK:CRSM)",OTCPK:CRSM,Software (System & Application),United States,United States,United States
Carter Bank & Trust (NasdaqGS:CARE),NasdaqGS:CARE,Banks (Regional),United States,United States,United States
"Carter's, Inc. (NYSE:CRI)",NYSE:CRI,Apparel,United States,United States,United States
Carvana Co. (NYSE:CVNA),NYSE:CVNA,Retail (Automotive),United States,United States,United States
"Carver Bancorp, Inc. (NasdaqCM:CARV)",NasdaqCM:CARV,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
"Casa Systems, Inc. (NasdaqGS:CASA)",NasdaqGS:CASA,Telecom. Equipment,United States,United States,United States
"Cascadia Investments, Inc. (OTCPK:CDIV)",OTCPK:CDIV,Real Estate (Development),United States,United States,United States
"Casella Waste Systems, Inc. (NasdaqGS:CWST)",NasdaqGS:CWST,Environmental & Waste Services,United States,United States,United States
"Casey's General Stores, Inc. (NasdaqGS:CASY)",NasdaqGS:CASY,Retail (Grocery and Food),United States,United States,United States
"CaseyCorp Enterprises, Inc. (OTCPK:CCPR)",OTCPK:CCPR,Retail (Distributors),United States,United States,United States
Cashmere Valley Bank (OTCPK:CSHX),OTCPK:CSHX,Banks (Regional),United States,United States,United States
"CASI Pharmaceuticals, Inc. (NasdaqCM:CASI)",NasdaqCM:CASI,Drugs (Biotechnology),United States,United States,United States
"Cass Information Systems, Inc. (NasdaqGS:CASS)",NasdaqGS:CASS,Information Services,United States,United States,United States
"Cassava Sciences, Inc. (NasdaqCM:SAVA)",NasdaqCM:SAVA,Drugs (Pharmaceutical),United States,United States,United States
"Castle Biosciences, Inc. (NasdaqGM:CSTL)",NasdaqGM:CSTL,Drugs (Biotechnology),United States,United States,United States
"Castlight Health, Inc. (NYSE:CSLT)",NYSE:CSLT,Heathcare Information and Technology,United States,United States,United States
"Catabasis Pharmaceuticals, Inc. (NasdaqGM:CATB)",NasdaqGM:CATB,Drugs (Biotechnology),United States,United States,United States
"Catalent, Inc. (NYSE:CTLT)",NYSE:CTLT,Drugs (Pharmaceutical),United States,United States,United States
"Catalyst Biosciences, Inc. (NasdaqCM:CBIO)",NasdaqCM:CBIO,Drugs (Biotechnology),United States,United States,United States
"Catalyst Pharmaceuticals, Inc. (NasdaqCM:CPRX)",NasdaqCM:CPRX,Drugs (Biotechnology),United States,United States,United States
"Catasys, Inc. (NasdaqCM:CATS)",NasdaqCM:CATS,Healthcare Support Services,United States,United States,United States
"CatchMark Timber Trust, Inc. (NYSE:CTT)",NYSE:CTT,R.E.I.T.,United States,United States,United States
Caterpillar Inc. (NYSE:CAT),NYSE:CAT,Construction Supplies,United States,United States,United States
Cathay General Bancorp (NasdaqGS:CATY),NasdaqGS:CATY,Banks (Regional),United States,United States,United States
"Catskill Hudson Bancorp, Inc. (OTCPK:CSKL)",OTCPK:CSKL,Banks (Regional),United States,United States,United States
"Cavco Industries, Inc. (NasdaqGS:CVCO)",NasdaqGS:CVCO,Homebuilding,United States,United States,United States
"Cavitation Technologies, Inc. (OTCPK:CVAT)",OTCPK:CVAT,Electronics (General),United States,United States,United States
CAVU Resources Inc. (OTCPK:CAVR),OTCPK:CAVR,Heathcare Information and Technology,United States,United States,United States
"CB Financial Services, Inc. (NasdaqGM:CBFV)",NasdaqGM:CBFV,Banks (Regional),United States,United States,United States
"CBA Florida, Inc. (OTCPK:CBAI)",OTCPK:CBAI,Healthcare Support Services,United States,United States,United States
"CBB Bancorp, Inc. (OTCPK:CBBI)",OTCPK:CBBI,Banks (Regional),United States,United States,United States
CBD Life Sciences Inc. (OTCPK:CBDL),OTCPK:CBDL,Entertainment,United States,United States,United States
CBD of Denver Inc. (OTCPK:CBDD),OTCPK:CBDD,Drugs (Pharmaceutical),United States,United States,United States
"CBD Unlimited, Inc. (OTCPK:EDXC)",OTCPK:EDXC,Drugs (Pharmaceutical),United States,United States,United States
"cbdMD, Inc. (AMEX:YCBD)",AMEX:YCBD,Drugs (Pharmaceutical),United States,United States,United States
"CBIZ, Inc. (NYSE:CBZ)",NYSE:CBZ,Business & Consumer Services,United States,United States,United States
"CBL & Associates Properties, Inc. (NYSE:CBL)",NYSE:CBL,R.E.I.T.,United States,United States,United States
"CBM Bancorp, Inc. (NasdaqCM:CBMB)",NasdaqCM:CBMB,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
"CBOA Financial, Inc. (OTCPK:CBOF)",OTCPK:CBOF,Banks (Regional),United States,United States,United States
"Cboe Global Markets, Inc. (BATS:CBOE)",BATS:CBOE,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
"CBRE Group, Inc. (NYSE:CBRE)",NYSE:CBRE,Real Estate (Operations & Services),United States,United States,United States
"CBTX, Inc. (NasdaqGS:CBTX)",NasdaqGS:CBTX,Banks (Regional),United States,United States,United States
"CCA Industries, Inc. (OTCPK:CAWW)",OTCPK:CAWW,Household Products,United States,United States,United States
"CCFNB Bancorp, Inc. (OTCPK:CCFN)",OTCPK:CCFN,Banks (Regional),United States,United States,United States
"CCOM Group, Inc. (OTCPK:CCOM)",OTCPK:CCOM,Retail (Distributors),United States,United States,United States
"CCUR Holdings, Inc. (OTCPK:CCUR)",OTCPK:CCUR,Computers/Peripherals,United States,United States,United States
"CD International Enterprises, Inc. (OTCPK:CDII.Q)",OTCPK:CDII.Q,Retail (Distributors),United States,United States,United States
"CDK Global, Inc. (NasdaqGS:CDK)",NasdaqGS:CDK,Software (System & Application),United States,United States,United States
"CDTi Advanced Materials, Inc. (OTCPK:CDTI)",OTCPK:CDTI,Auto Parts,United States,United States,United States
CDW Corporation (NasdaqGS:CDW),NasdaqGS:CDW,Computer Services,United States,United States,United States
CECO Environmental Corp. (NasdaqGS:CECE),NasdaqGS:CECE,Environmental & Waste Services,United States,United States,United States
"CeCors, Inc. (OTCPK:CEOS)",OTCPK:CEOS,Heathcare Information and Technology,United States,United States,United States
"Cedar Realty Trust, Inc. (NYSE:CDR)",NYSE:CDR,R.E.I.T.,United States,United States,United States
CEL-SCI Corporation (AMEX:CVM),AMEX:CVM,Drugs (Biotechnology),United States,United States,United States
"Celadon Group, Inc. (OTCPK:CGIP.Q)",OTCPK:CGIP.Q,Trucking,United States,United States,United States
Celanese Corporation (NYSE:CE),NYSE:CE,Chemical (Specialty),United States,United States,United States
Celcuity Inc. (NasdaqCM:CELC),NasdaqCM:CELC,Drugs (Biotechnology),United States,United States,United States
"Celerity Solutions, Inc. (OTCPK:CLTY)",OTCPK:CLTY,Software (System & Application),United States,United States,United States
"Celexus, Inc. (OTCPK:CXUS)",OTCPK:CXUS,Drugs (Pharmaceutical),United States,United States,United States
Cell MedX Corp. (OTCPK:CMXC),OTCPK:CMXC,Healthcare Products,United States,United States,United States
"Cell Source, Inc. (OTCPK:CLCS)",OTCPK:CLCS,Drugs (Biotechnology),United States,United States,United States
"Celldex Therapeutics, Inc. (NasdaqCM:CLDX)",NasdaqCM:CLDX,Drugs (Biotechnology),United States,United States,United States
"Cellectar Biosciences, Inc. (NasdaqCM:CLRB)",NasdaqCM:CLRB,Drugs (Biotechnology),United States,United States,United States
"Cellular Biomedicine Group, Inc. (NasdaqGS:CBMG)",NasdaqGS:CBMG,Drugs (Biotechnology),United States,United States,United States
Celsion Corporation (NasdaqCM:CLSN),NasdaqCM:CLSN,Drugs (Biotechnology),United States,United States,United States
"Celsius Holdings, Inc. (NasdaqCM:CELH)",NasdaqCM:CELH,Beverage (Soft),United States,United States,United States
"Cemtrex, Inc. (NasdaqCM:CETX)",NasdaqCM:CETX,Electronics (General),United States,United States,United States
"Centaurus Diamond Technologies, Inc. (OTCPK:CTDT)",OTCPK:CTDT,Apparel,United States,United States,United States
Centene Corporation (NYSE:CNC),NYSE:CNC,Healthcare Support Services,United States,United States,United States
"Centennial Resource Development, Inc. (NasdaqCM:CDEV)",NasdaqCM:CDEV,Oil/Gas (Production and Exploration),United States,United States,United States
Centennial Specialty Foods Corp. (OTCPK:CHLE),OTCPK:CHLE,Food Processing,United States,United States,United States
"CenterPoint Energy, Inc. (NYSE:CNP)",NYSE:CNP,Utility (General),United States,United States,United States
"CenterPoint Energy, Inc. (NYSE:CNP)",NYSE:CNP,Utility (General),United States,United States,United States
CenterState Bank Corporation (NasdaqGS:CSFL),NasdaqGS:CSFL,Banks (Regional),United States,United States,United States
"Central Bancompany, Inc. (OTCPK:CBCY.B)",OTCPK:CBCY.B,Banks (Regional),United States,United States,United States
"Central Federal Bancshares, Inc. (OTCPK:CFDB)",OTCPK:CFDB,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
Central Federal Corporation (NasdaqCM:CFBK),NasdaqCM:CFBK,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
Central Garden & Pet Company (NasdaqGS:CENT),NasdaqGS:CENT,Household Products,United States,United States,United States
Central Pacific Financial Corp. (NYSE:CPF),NYSE:CPF,Banks (Regional),United States,United States,United States
Central Securities Corp. (AMEX:CET),AMEX:CET,Investments & Asset Management,United States,United States,United States
Central Valley Community Bancorp (NasdaqCM:CVCY),NasdaqCM:CVCY,Banks (Regional),United States,United States,United States
"Central Wireless, Inc. (OTCPK:CWIR)",OTCPK:CWIR,Engineering/Construction,United States,United States,United States
Centric Brands Inc. (NasdaqCM:CTRC),NasdaqCM:CTRC,Apparel,United States,United States,United States
Centric Financial Corporation (OTCPK:CFCX),OTCPK:CFCX,Banks (Regional),United States,United States,United States
Centrus Energy Corp. (AMEX:LEU),AMEX:LEU,Coal & Related Energy,United States,United States,United States
Century Aluminum Company (NasdaqGS:CENX),NasdaqGS:CENX,Metals & Mining,United States,United States,United States
"Century Bancorp, Inc. (NasdaqGS:CNBK.A)",NasdaqGS:CNBK.A,Banks (Regional),United States,United States,United States
"Century Casinos, Inc. (NasdaqCM:CNTY)",NasdaqCM:CNTY,Hotel/Gaming,United States,United States,United States
Century Cobalt Corp. (OTCPK:CCOB),OTCPK:CCOB,Metals & Mining,United States,United States,United States
"Century Communities, Inc. (NYSE:CCS)",NYSE:CCS,Homebuilding,United States,United States,United States
Century Financial Corporation (OTCPK:CYFL),OTCPK:CYFL,Banks (Regional),United States,United States,United States
Century Next Financial Corporation (OTCPK:CTUY),OTCPK:CTUY,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
"CenturyLink, Inc. (NYSE:CTL)",NYSE:CTL,Telecom. Services,United States,United States,United States
"CEO America, Inc. (OTCPK:CEOA)",OTCPK:CEOA,Business & Consumer Services,United States,United States,United States
Cerebain Biotech Corp. (OTCPK:CBBT),OTCPK:CBBT,Drugs (Biotechnology),United States,United States,United States
Cerecor Inc. (NasdaqCM:CERC),NasdaqCM:CERC,Drugs (Pharmaceutical),United States,United States,United States
Cerence Inc. (NasdaqGS:CRNC),NasdaqGS:CRNC,Software (System & Application),United States,United States,United States
"Cereplast, Inc. (OTCPK:CERP.Q)",OTCPK:CERP.Q,Chemical (Basic),United States,United States,United States
Ceres Global Ag Corp. (TSX:CRP),TSX:CRP,Business & Consumer Services,United States,United States,United States
"Ceres Ventures, Inc. (OTCPK:CEVE)",OTCPK:CEVE,Environmental & Waste Services,United States,United States,United States
Ceridian HCM Holding Inc. (NYSE:CDAY),NYSE:CDAY,Software (System & Application),United States,United States,United States
"Cermetek Microelectronics, Inc. (OTCPK:CRMK)",OTCPK:CRMK,Telecom. Equipment,United States,United States,United States
Cerner Corporation (NasdaqGS:CERN),NasdaqGS:CERN,Heathcare Information and Technology,United States,United States,United States
Certive Solutions Inc. (CNSX:CBP),CNSX:CBP,Heathcare Information and Technology,United States,United States,United States
Cerus Corporation (NasdaqGM:CERS),NasdaqGM:CERS,Healthcare Products,United States,United States,United States
"CES Synergies, Inc. (OTCPK:CESX)",OTCPK:CESX,Environmental & Waste Services,United States,United States,United States
"CEVA, Inc. (NasdaqGS:CEVA)",NasdaqGS:CEVA,Semiconductor,United States,United States,United States
CF Finance Acquisition Corp. (NasdaqCM:CFFA),NasdaqCM:CFFA,Investments & Asset Management,United States,United States,United States
"CF Industries Holdings, Inc. (NYSE:CF)",NYSE:CF,Chemical (Specialty),United States,United States,United States
CFN Enterprises Inc. (OTCPK:CNFN),OTCPK:CNFN,Software (System & Application),United States,United States,United States
CGE Energy Inc. (OTCPK:CGEI),OTCPK:CGEI,Green & Renewable Energy,United States,United States,United States
"CGrowth Capital, Inc. (OTCPK:CGRA)",OTCPK:CGRA,Investments & Asset Management,United States,United States,United States
